additional seasonal immune population fraction R1,additional seasonal immune population fraction R2,fatality rate region 2,fatality ratio region 1,infection rate region 2,infection ratio region 1,initial immune fraction of the population of region 1,initial immune fraction of the population of region 2,normal contact rate region 1,normal contact rate region 2,normal interregional contact rate,permanent immune population fraction R1,permanent immune population fraction R2,recovery time region 1,recovery time region 2,root contact rate region 1,root contact ratio region 2,susceptible to immune population delay time region 1,susceptible to immune population delay time region 2,scenario_id,policy,model
0.0049393778327375465,0.4778354757283508,0.058697358116004274,0.0850227999069577,0.041668843592910766,0.08585861829404656,0.2556644287469923,0.4708324546833197,62.23935642682513,57.400149419212674,0.6134010406707184,0.08854708200905446,0.04437251516602109,0.5201401772620821,0.1635811978029877,3.988591844329056,1.5355008540790704,1.739709263214162,0.6455021084661416,0,no policy,fluCase
0.4512022568814271,0.07622527181555562,0.0428635678916949,0.024917452789910026,0.02450604560424856,0.026310234237656858,0.4392828045619451,0.11350983210828675,35.9471038701689,126.32269562708328,0.379602581587798,0.00759155595605623,0.3907633038282181,0.42624870907512,0.4325975628689698,0.2316575151385525,3.2159059138683475,0.7605809685790762,1.8373090793649007,1,no policy,fluCase
0.17542108411635776,0.31719139968333043,0.003066761399256367,0.015038960503394466,0.03688126066009178,0.023889513394040614,0.2512073426310426,0.4074546912046828,79.70475357622429,117.70000939383188,0.4053266043600676,0.07009158816819824,0.4797155265420088,0.6039799487046336,0.5672296361456566,1.9987453893504352,0.29103682085149063,0.5201847399166328,1.9449776976057689,2,no policy,fluCase
0.3853675644953764,0.17138898075572515,0.014347676483735226,0.0026652504904108045,0.07515120252912814,0.14497836820883134,0.07323507197475708,0.3883756606740434,89.50187354678845,23.27116474313889,0.12755923641954275,0.00441760284852924,0.1206987972323163,0.5119610556138732,0.3842050806689019,0.642976425749997,1.1632115007699997,1.6571351560420071,1.1518601253599383,3,no policy,fluCase
0.10976669650827953,0.40782740229061737,0.0476598555727211,0.05394547927560743,0.06045671252329739,0.03252172873981198,0.4534899518042368,0.3380934794444762,74.8766429137759,129.11895200649434,0.6354718304915424,0.07693932920868178,0.12124825681624347,0.4773134044599829,0.581431716770505,4.266849715411326,4.43848161150321,1.2609690915284135,1.6470666591550511,4,no policy,fluCase
0.4231561567480053,0.10132283505003473,0.08870662589603155,0.01579549628701342,0.11413365194237818,0.04888842399284764,0.3119217666174929,0.032731922525692264,75.58558530710678,42.45268405560483,0.6005818075992064,0.16795350949254914,0.4693514974003965,0.6541182882589764,0.61000139075262,4.8970346196062176,1.386698816445924,0.6625927920826994,0.7433472337738614,5,no policy,fluCase
0.24975962183911166,0.3894700327338574,0.0821618532700125,0.09421554711712617,0.08212438183308543,0.057911010213103936,0.11717242100488158,0.3210904852895002,68.40279032681437,115.44228002707874,0.13755026714513413,0.043859441995297115,0.14468582791713028,0.10314628535378127,0.17397051825548754,1.0116949849929553,3.528160238152226,1.5668531036382878,1.530460003745166,6,no policy,fluCase
0.30642370273747915,0.06756576379121364,0.0027834382643503997,0.038676957807028255,0.024414020484581328,0.058550338097396,0.4860157860795152,0.18605446029411415,23.65816543183719,192.0809847471855,0.5423351811245034,0.2916874864470813,0.012723099398895502,0.5073658920859554,0.10796607053976648,4.574942814988701,2.11495780050692,1.1762447349439542,0.5078587729430679,7,no policy,fluCase
0.4490845063260663,0.4209589882569591,0.010635099056876237,0.07325077118305809,0.018184175197599038,0.11397761354792305,0.14509716219290975,0.3846353649130108,39.56872480237517,186.79736834475338,0.4968306695782426,0.2030528899531677,0.0869176600290647,0.7386285368001386,0.396085389258115,0.8265742029467388,1.0536459683263664,1.0846800752687065,0.5501585583414292,8,no policy,fluCase
0.05765566411612595,0.3603939875372762,0.06399034756633615,0.06727658459596618,0.025919616171520308,0.05386906241904912,0.2509562765359157,0.3509030682069477,62.95496139662606,81.20149477882097,0.4089443548991501,0.11229895066577372,0.1921710697352916,0.41750604189417895,0.3925473830860379,3.518601686202381,2.739240489699527,0.5852795853754019,1.2904922664688898,9,no policy,fluCase
0.4357366657435188,0.31573285312127425,0.00034315619270520873,0.028248701093705038,0.12166281403618835,0.11458994478878105,0.07523419166995253,0.1632736086129737,18.34469166756047,30.793115061967892,0.474944810433527,0.21543134966874386,0.35767260536792056,0.6110271232112945,0.2826213099393929,3.3130276052908285,4.530239458228555,1.8308071073986147,0.9151039711121086,10,no policy,fluCase
